Unnamed: 0,UF,cod_uf,faixa_etaria,cod_faixa,perc_necessidade,erro_padrao,IC_inf,IC_sup,tipo_procedimento,total_populacao
203,Santa Catarina,42,de 30 a 59 anos,3,4.7566,1.7706,1.2863,8.2269,Endodontia,3324545
204,Santa Catarina,42,60 anos e mais,4,4.401,1.8781,0.72,8.0821,Endodontia,1184393
205,Sergipe,28,de 0 a 14 anos,1,12.9443,3.1559,6.7589,19.1297,Endodontia,469501
206,Sergipe,28,de 15 a 29 anos,2,9.7163,3.647,2.5683,16.8643,Endodontia,526722
207,Sergipe,28,de 30 a 59 anos,3,6.5402,2.1245,2.3762,10.7041,Endodontia,919172
208,Sergipe,28,60 anos e mais,4,3.7633,1.9407,-0.0404,7.567,Endodontia,294609
209,São Paulo,35,de 0 a 14 anos,1,6.7947,2.2929,2.3007,11.2887,Endodontia,7975163
210,São Paulo,35,de 15 a 29 anos,2,3.6395,1.4194,0.8575,6.4215,Endodontia,9374648
211,São Paulo,35,de 30 a 59 anos,3,5.8705,2.1545,1.6479,10.0932,Endodontia,19410859
212,São Paulo,35,60 anos e mais,4,3.7659,2.0428,-0.238,7.7698,Endodontia,7650568
213,Tocantins,17,de 0 a 14 anos,1,13.0832,4.4273,4.4058,21.7607,Endodontia,350986
214,Tocantins,17,de 15 a 29 anos,2,18.0813,6.4476,5.4443,30.7184,Endodontia,366420
215,Tocantins,17,de 30 a 59 anos,3,14.6622,7.4045,0.1496,29.1747,Endodontia,605133
216,Tocantins,17,60 anos e mais,4,1.9818,1.5885,-1.1317,5.0953,Endodontia,188921
217,Acre,12,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,224784
218,Acre,12,de 30 a 59 anos,3,0.0,0.0,0.0,0.0,Periodontia,305658
219,Acre,12,60 anos e mais,4,0.6647,0.5136,-0.3419,1.6713,Periodontia,78416
220,Acre,12,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,221160
221,Alagoas,27,de 15 a 29 anos,2,0.0411,0.0418,-0.0408,0.1231,Periodontia,759755
222,Alagoas,27,de 30 a 59 anos,3,0.484,0.2483,-0.0026,0.9706,Periodontia,1247016
223,Alagoas,27,60 anos e mais,4,1.1731,0.9948,-0.7767,3.123,Periodontia,409221
224,Alagoas,27,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,711691
225,Amapá,16,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,200435
226,Amapá,16,de 30 a 59 anos,3,0.88,0.6914,-0.4752,2.2351,Periodontia,273232
227,Amapá,16,60 anos e mais,4,0.0,0.0,0.0,0.0,Periodontia,61916
228,Amapá,16,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,198176
229,Amazonas,13,de 15 a 29 anos,2,0.2517,0.2497,-0.2378,0.7411,Periodontia,1063019
230,Amazonas,13,de 30 a 59 anos,3,0.8993,0.4706,-0.0231,1.8216,Periodontia,1446186
231,Amazonas,13,60 anos e mais,4,2.5408,1.1838,0.2205,4.8611,Periodontia,356982
232,Amazonas,13,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1075426
233,Bahia,29,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,3174682
234,Bahia,29,de 30 a 59 anos,3,2.0477,1.1687,-0.2429,4.3383,Periodontia,5944594
235,Bahia,29,60 anos e mais,4,3.3734,1.2449,0.9334,5.8134,Periodontia,2159279
236,Bahia,29,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,2863071
237,Ceará,23,de 15 a 29 anos,2,0.3331,0.3298,-0.3133,0.9795,Periodontia,2070180
238,Ceará,23,de 30 a 59 anos,3,1.4852,0.9594,-0.3953,3.3656,Periodontia,3631809
239,Ceará,23,60 anos e mais,4,0.7615,0.3772,0.0222,1.5008,Periodontia,1290533
240,Ceará,23,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1802435
241,Distrito Federal,53,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,660674
242,Distrito Federal,53,de 30 a 59 anos,3,6.464,1.9055,2.7294,10.1986,Periodontia,1257384
243,Distrito Federal,53,60 anos e mais,4,2.3803,1.1152,0.1944,4.5661,Periodontia,365090
244,Distrito Federal,53,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,534233
245,Espírito Santo,32,de 15 a 29 anos,2,0.2153,0.1664,-0.1109,0.5415,Periodontia,811486
246,Espírito Santo,32,de 30 a 59 anos,3,0.4596,0.2272,0.0143,0.905,Periodontia,1649332
247,Espírito Santo,32,60 anos e mais,4,0.4497,0.2433,-0.0272,0.9267,Periodontia,631398
248,Espírito Santo,32,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,741496
249,Goiás,52,de 15 a 29 anos,2,2.1143,2.0045,-1.8145,6.0431,Periodontia,1627589
250,Goiás,52,de 30 a 59 anos,3,1.1164,0.7737,-0.4001,2.6329,Periodontia,3033200
251,Goiás,52,60 anos e mais,4,5.9509,1.8185,2.3867,9.515,Periodontia,964417
252,Goiás,52,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1431289
253,Maranhão,21,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,1703431
254,Maranhão,21,de 30 a 59 anos,3,2.5178,2.4696,-2.3226,7.3582,Periodontia,2605727
255,Maranhão,21,60 anos e mais,4,2.3583,1.4463,-0.4764,5.1931,Periodontia,821961
256,Maranhão,21,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1645580
257,Mato Grosso,51,de 15 a 29 anos,2,1.8966,1.3147,-0.6801,4.4732,Periodontia,864067
258,Mato Grosso,51,de 30 a 59 anos,3,4.6692,2.4285,-0.0905,9.429,Periodontia,1534417
259,Mato Grosso,51,60 anos e mais,4,1.9566,0.983,0.0299,3.8833,Periodontia,430479
260,Mato Grosso,51,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,829686
261,Mato Grosso do Sul,50,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,621841
262,Mato Grosso do Sul,50,de 30 a 59 anos,3,2.0606,1.0678,-0.0322,4.1535,Periodontia,1137289
263,Mato Grosso do Sul,50,60 anos e mais,4,1.9503,1.151,-0.3055,4.2061,Periodontia,391091
264,Mato Grosso do Sul,50,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,606792
265,Minas Gerais,31,de 15 a 29 anos,2,0.0347,0.035,-0.0338,0.1032,Periodontia,4426257
266,Minas Gerais,31,de 30 a 59 anos,3,2.1185,1.4155,-0.6558,4.8929,Periodontia,8745877
267,Minas Gerais,31,60 anos e mais,4,0.9649,0.5941,-0.1995,2.1293,Periodontia,3659936
268,Minas Gerais,31,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,3707919
269,Paraná,41,de 15 a 29 anos,2,0.6601,0.6527,-0.6191,1.9393,Periodontia,2496695
270,Paraná,41,de 30 a 59 anos,3,2.6841,1.2663,0.2022,5.166,Periodontia,4859268
271,Paraná,41,60 anos e mais,4,2.5644,1.1428,0.3247,4.8042,Periodontia,1893120
272,Paraná,41,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,2195297
273,Paraíba,25,de 15 a 29 anos,2,0.059,0.0598,-0.0582,0.1762,Periodontia,893666
274,Paraíba,25,de 30 a 59 anos,3,4.4535,2.659,-0.758,9.6651,Periodontia,1638772
275,Paraíba,25,60 anos e mais,4,0.8597,0.7909,-0.6904,2.4098,Periodontia,615328
276,Paraíba,25,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,826921
277,Pará,15,de 15 a 29 anos,2,1.4199,0.8349,-0.2165,3.0563,Periodontia,2100629
278,Pará,15,de 30 a 59 anos,3,2.3707,1.5915,-0.7487,5.49,Periodontia,3152228
279,Pará,15,60 anos e mais,4,2.9489,2.0047,-0.9803,6.8781,Periodontia,876332
280,Pará,15,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1990942
281,Pernambuco,26,de 15 a 29 anos,2,0.0381,0.0392,-0.0388,0.1149,Periodontia,2079231
282,Pernambuco,26,de 30 a 59 anos,3,0.3667,0.1819,0.0101,0.7232,Periodontia,3752862
283,Pernambuco,26,60 anos e mais,4,1.2595,0.5244,0.2317,2.2872,Periodontia,1332159
284,Pernambuco,26,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1894679
285,Piauí,22,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,758510
286,Piauí,22,de 30 a 59 anos,3,1.8888,0.9148,0.0959,3.6818,Periodontia,1336856
287,Piauí,22,60 anos e mais,4,2.0277,0.7585,0.5411,3.5143,Periodontia,493899
288,Piauí,22,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,681934
289,Rio Grande do Norte,24,de 15 a 29 anos,2,0.2525,0.1897,-0.1192,0.6242,Periodontia,755428
290,Rio Grande do Norte,24,de 30 a 59 anos,3,0.6737,0.3023,0.0813,1.2662,Periodontia,1394752
291,Rio Grande do Norte,24,60 anos e mais,4,0.9673,0.5514,-0.1134,2.0481,Periodontia,497891
292,Rio Grande do Norte,24,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,654658
293,Rio Grande do Sul,43,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,2207936
294,Rio Grande do Sul,43,de 30 a 59 anos,3,0.2047,0.0984,0.0118,0.3977,Periodontia,4575103
295,Rio Grande do Sul,43,60 anos e mais,4,5.3667,1.6672,2.0991,8.6343,Periodontia,2193416
296,Rio Grande do Sul,43,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1906510
297,Rio de Janeiro,33,de 15 a 29 anos,2,0.3861,0.265,-0.1334,0.9055,Periodontia,3321915
298,Rio de Janeiro,33,de 30 a 59 anos,3,3.2923,1.1798,0.9798,5.6047,Periodontia,6851484
299,Rio de Janeiro,33,60 anos e mais,4,2.8747,1.1678,0.5858,5.1636,Periodontia,3025629
300,Rio de Janeiro,33,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,2856146
301,Rondônia,11,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,372629
302,Rondônia,11,de 30 a 59 anos,3,0.0,0.0,0.0,0.0,Periodontia,664369
303,Rondônia,11,60 anos e mais,4,0.6818,0.4669,-0.2333,1.5969,Periodontia,196046
304,Rondônia,11,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,348152
305,Roraima,14,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,171286
306,Roraima,14,de 30 a 59 anos,3,0.6832,0.4957,-0.2884,1.6549,Periodontia,228753
307,Roraima,14,60 anos e mais,4,1.0476,0.6271,-0.1815,2.2767,Periodontia,50460
308,Roraima,14,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,186208
309,Santa Catarina,42,de 15 a 29 anos,2,0.0,0.0,0.0,0.0,Periodontia,1678213
310,Santa Catarina,42,de 30 a 59 anos,3,4.91,1.8923,1.2012,8.6188,Periodontia,3324545
311,Santa Catarina,42,60 anos e mais,4,1.6634,0.9128,-0.1257,3.4525,Periodontia,1184393
312,Santa Catarina,42,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,1423210
313,Sergipe,28,de 15 a 29 anos,2,0.9168,0.9266,-0.8993,2.7329,Periodontia,526722
314,Sergipe,28,de 30 a 59 anos,3,7.3415,3.1738,1.1211,13.562,Periodontia,919172
315,Sergipe,28,60 anos e mais,4,4.9924,2.191,0.6981,9.2867,Periodontia,294609
316,Sergipe,28,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,469501
317,São Paulo,35,de 15 a 29 anos,2,0.1946,0.1968,-0.1912,0.5804,Periodontia,9374648
318,São Paulo,35,de 30 a 59 anos,3,7.8533,4.3484,-0.6693,16.376,Periodontia,19410859
319,São Paulo,35,60 anos e mais,4,3.5336,2.2091,-0.7961,7.8633,Periodontia,7650568
320,São Paulo,35,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,7975163
321,Tocantins,17,de 15 a 29 anos,2,1.1697,0.978,-0.7472,3.0865,Periodontia,366420
322,Tocantins,17,de 30 a 59 anos,3,2.2744,1.8525,-1.3565,5.9053,Periodontia,605133
323,Tocantins,17,60 anos e mais,4,1.8986,1.5896,-1.2171,5.0142,Periodontia,188921
324,Tocantins,17,de 0 a 14 anos,1,0.0,0.0,0.0,0.0,Periodontia,350986
325,Acre,12,de 15 a 29 anos,2,10.2529,3.4551,3.481,17.0249,Prótese,224784
326,Acre,12,de 30 a 59 anos,3,61.0991,5.5154,50.2891,71.909,Prótese,305658
327,Acre,12,60 anos e mais,4,81.6018,2.8765,75.9639,87.2396,Prótese,78416
328,Alagoas,27,de 15 a 29 anos,2,20.1626,5.0678,10.2299,30.0952,Prótese,759755
329,Alagoas,27,de 30 a 59 anos,3,65.8288,5.6141,54.8255,76.8322,Prótese,1247016
330,Alagoas,27,60 anos e mais,4,78.974,4.4966,70.1608,87.7872,Prótese,409221
331,Amapá,16,de 15 a 29 anos,2,17.4797,2.6953,12.1971,22.7624,Prótese,200435
332,Amapá,16,de 30 a 59 anos,3,56.5212,6.1715,44.4254,68.6171,Prótese,273232
333,Amapá,16,60 anos e mais,4,74.5564,4.4865,65.7631,83.3497,Prótese,61916
334,Amazonas,13,de 15 a 29 anos,2,20.0572,3.4347,13.3253,26.7891,Prótese,1063019
335,Amazonas,13,de 30 a 59 anos,3,79.0361,3.337,72.4958,85.5764,Prótese,1446186
336,Amazonas,13,60 anos e mais,4,73.8469,4.1005,65.81,81.8838,Prótese,356982
337,Bahia,29,de 15 a 29 anos,2,12.9256,3.0418,6.9638,18.8874,Prótese,3174682
338,Bahia,29,de 30 a 59 anos,3,58.0831,7.4782,43.426,72.7401,Prótese,5944594
339,Bahia,29,60 anos e mais,4,86.67,2.6063,81.5618,91.7782,Prótese,2159279
340,Ceará,23,de 15 a 29 anos,2,11.4199,3.1672,5.2123,17.6275,Prótese,2070180
341,Ceará,23,de 30 a 59 anos,3,67.576,8.4443,51.0255,84.1265,Prótese,3631809
342,Ceará,23,60 anos e mais,4,83.8553,3.7943,76.4186,91.2921,Prótese,1290533
343,Distrito Federal,53,de 15 a 29 anos,2,7.3199,2.6075,2.2092,12.4306,Prótese,660674
344,Distrito Federal,53,de 30 a 59 anos,3,44.038,4.3523,35.5076,52.5684,Prótese,1257384
345,Distrito Federal,53,60 anos e mais,4,71.5985,4.2783,63.2133,79.9838,Prótese,365090
346,Espírito Santo,32,de 15 a 29 anos,2,2.3641,1.4419,-0.462,5.1902,Prótese,811486
347,Espírito Santo,32,de 30 a 59 anos,3,40.2292,8.1594,24.2371,56.2213,Prótese,1649332
348,Espírito Santo,32,60 anos e mais,4,74.5329,5.5428,63.6693,85.3966,Prótese,631398
349,Goiás,52,de 15 a 29 anos,2,14.1683,3.8414,6.6394,21.6973,Prótese,1627589
350,Goiás,52,de 30 a 59 anos,3,47.8235,4.1519,39.6859,55.961,Prótese,3033200
351,Goiás,52,60 anos e mais,4,74.3181,6.8341,60.9236,87.7127,Prótese,964417
352,Maranhão,21,de 15 a 29 anos,2,15.2491,4.416,6.5939,23.9043,Prótese,1703431
353,Maranhão,21,de 30 a 59 anos,3,60.4509,7.3152,46.1134,74.7885,Prótese,2605727
354,Maranhão,21,60 anos e mais,4,81.5965,6.2323,69.3815,93.8115,Prótese,821961
355,Mato Grosso,51,de 15 a 29 anos,2,9.8682,2.7802,4.4191,15.3174,Prótese,864067
356,Mato Grosso,51,de 30 a 59 anos,3,48.3255,3.9235,40.6356,56.0154,Prótese,1534417
357,Mato Grosso,51,60 anos e mais,4,75.2966,5.0116,65.474,85.1192,Prótese,430479
358,Mato Grosso do Sul,50,de 15 a 29 anos,2,6.7309,2.4022,2.0226,11.4392,Prótese,621841
359,Mato Grosso do Sul,50,de 30 a 59 anos,3,45.114,4.913,35.4847,54.7433,Prótese,1137289
360,Mato Grosso do Sul,50,60 anos e mais,4,82.2787,3.1852,76.0357,88.5216,Prótese,391091
361,Minas Gerais,31,de 15 a 29 anos,2,3.2835,1.8155,-0.2749,6.8418,Prótese,4426257
362,Minas Gerais,31,de 30 a 59 anos,3,40.4924,6.2357,28.2707,52.714,Prótese,8745877
363,Minas Gerais,31,60 anos e mais,4,68.4196,4.2484,60.0929,76.7462,Prótese,3659936
364,Paraná,41,de 15 a 29 anos,2,4.4633,2.153,0.2435,8.6831,Prótese,2496695
365,Paraná,41,de 30 a 59 anos,3,37.315,7.1113,23.377,51.2529,Prótese,4859268
366,Paraná,41,60 anos e mais,4,53.5728,4.9741,43.8239,63.3218,Prótese,1893120
367,Paraíba,25,de 15 a 29 anos,2,6.5554,2.7311,1.2025,11.9082,Prótese,893666
368,Paraíba,25,de 30 a 59 anos,3,67.0609,5.3856,56.5053,77.6165,Prótese,1638772
369,Paraíba,25,60 anos e mais,4,88.7882,4.921,79.1433,98.4331,Prótese,615328
370,Pará,15,de 15 a 29 anos,2,15.3481,5.3343,4.8931,25.803,Prótese,2100629
371,Pará,15,de 30 a 59 anos,3,66.9306,4.1809,58.7363,75.125,Prótese,3152228
372,Pará,15,60 anos e mais,4,84.5832,3.8221,77.092,92.0744,Prótese,876332
373,Pernambuco,26,de 15 a 29 anos,2,9.7688,4.5177,0.9142,18.6233,Prótese,2079231
374,Pernambuco,26,de 30 a 59 anos,3,72.7102,3.6139,65.627,79.7933,Prótese,3752862
375,Pernambuco,26,60 anos e mais,4,87.023,6.2813,74.712,99.3341,Prótese,1332159
376,Piauí,22,de 15 a 29 anos,2,14.295,2.2066,9.9702,18.6198,Prótese,758510
377,Piauí,22,de 30 a 59 anos,3,56.2265,5.7351,44.986,67.4671,Prótese,1336856
378,Piauí,22,60 anos e mais,4,78.1877,4.1674,70.0198,86.3556,Prótese,493899
379,Rio Grande do Norte,24,de 15 a 29 anos,2,26.5499,9.152,8.6123,44.4875,Prótese,755428
380,Rio Grande do Norte,24,de 30 a 59 anos,3,64.6229,16.3013,32.6729,96.5729,Prótese,1394752
381,Rio Grande do Norte,24,60 anos e mais,4,89.3956,3.133,83.2551,95.5361,Prótese,497891
382,Rio Grande do Sul,43,de 15 a 29 anos,2,6.9848,2.5083,2.0687,11.9009,Prótese,2207936
383,Rio Grande do Sul,43,de 30 a 59 anos,3,49.0643,7.3321,34.6937,63.4349,Prótese,4575103
384,Rio Grande do Sul,43,60 anos e mais,4,70.1167,3.301,63.6468,76.5866,Prótese,2193416
385,Rio de Janeiro,33,de 15 a 29 anos,2,5.3358,1.6776,2.0478,8.6238,Prótese,3321915
386,Rio de Janeiro,33,de 30 a 59 anos,3,52.3937,5.0911,42.4153,62.3721,Prótese,6851484
387,Rio de Janeiro,33,60 anos e mais,4,77.4096,2.9124,71.7014,83.1179,Prótese,3025629
388,Rondônia,11,de 15 a 29 anos,2,11.2527,2.1784,6.9831,15.5223,Prótese,372629
389,Rondônia,11,de 30 a 59 anos,3,70.9111,6.2859,58.591,83.2313,Prótese,664369
390,Rondônia,11,60 anos e mais,4,66.6355,4.464,57.8863,75.3847,Prótese,196046
391,Roraima,14,de 15 a 29 anos,2,16.9694,1.7971,13.4472,20.4917,Prótese,171286
392,Roraima,14,de 30 a 59 anos,3,63.8987,3.639,56.7663,71.0311,Prótese,228753
393,Roraima,14,60 anos e mais,4,80.2245,2.7207,74.8921,85.5569,Prótese,50460
394,Santa Catarina,42,de 15 a 29 anos,2,3.8865,2.1078,-0.2447,8.0176,Prótese,1678213
395,Santa Catarina,42,de 30 a 59 anos,3,40.1159,8.3496,23.751,56.4807,Prótese,3324545
396,Santa Catarina,42,60 anos e mais,4,63.5547,5.9928,51.809,75.3005,Prótese,1184393
397,Sergipe,28,de 15 a 29 anos,2,4.9926,1.9017,1.2654,8.7198,Prótese,526722
398,Sergipe,28,de 30 a 59 anos,3,61.0182,5.6631,49.9188,72.1176,Prótese,919172
399,Sergipe,28,60 anos e mais,4,91.8321,2.2567,87.4089,96.2552,Prótese,294609
400,São Paulo,35,de 15 a 29 anos,2,6.8839,3.864,-0.6894,14.4572,Prótese,9374648
401,São Paulo,35,de 30 a 59 anos,3,53.3568,8.0119,37.6537,69.0599,Prótese,19410859
402,São Paulo,35,60 anos e mais,4,74.9889,4.9676,65.2526,84.7253,Prótese,7650568
403,Tocantins,17,de 15 a 29 anos,2,17.0717,6.1389,5.0397,29.1037,Prótese,366420
404,Tocantins,17,de 30 a 59 anos,3,54.9627,7.8727,39.5326,70.3929,Prótese,605133
405,Tocantins,17,60 anos e mais,4,77.9982,7.1087,64.0654,91.9309,Prótese,188921
